Код,RegionName,ВёскаЗапісу,Широта,Долгота
894,Гомельская,Вонюжичи,52.3884,28.5983
895,Гомельская,Лядцы,52.10132,31.11535
896,Брестская,Любейки,52.88414,26.01969
897,Брестская,Липск,52.8354,26.0916
898,Брестская,Залужжа,52.8135,26.0443
899,Брестская,Залипенье,52.8405,26.1180
900,Гомельская,Большевик,52.5635,30.8762
901,Гомельская,Головинцы,52.4031,31.1377
902,Гомельская,Поколюбичы,52.4994,31.0331
903,Минская,Зелёный Бор,54.0137,28.4804
904,Гродненская,Залески,53.446472,24.280528
906,Гомельская,Лубенікі,51.94053,30.3229
907,Гомельская,Камарын г.п.,51.4388,30.5651
908,Минская,Паплавы,53.80623,28.87091
909,Минская,Саланая,54.06181,26.57698
910,Минская,Рыбчына,54.487756,27.136815
911,Витебская,Лётцы Вялікія,55.20445,29.93342
912,Гомельская,Дзям’янкі,52.5344,31.4765
913,Гомельская,Бярэжцы,51.9929,27.6474
914,Гомельская,Дварэц,52.07200,27.75145
915,Гомельская,Запясочча,52.0750,27.7069
916,Гомельская,Хачэнь,52.02489,27.74567
917,Гомельская,Тураў г.,52.0675,27.7374
918,Гомельская,М. Малешава,52.086229,27.539176
919,Гомельская,Пуговічі,52.375663,27.965956
920,Могилевская,Высокі Бор,53.34139,31.61378
921,Могилевская,Губенщизна,53.71403,31.43252
922,Витебская,Лепель г.,54.8863166,28.6858941
923,Гомельская,Чаплін,52.13382,30.66267
924,Брестская,Дарава,53.10813,26.16642
925,Брестская,Зарытава,53.0869,26.4503
926,Могилевская,Слаўнае,54.09549,31.36564
927,Минская,Нясвіж г.п.,53.2191,26.6791
928,Брестская,Ботава,52.34313,26.31277
929,Витебская,Партызаны,54.82102,29.47809
930,Витебская,Чуцькі,54.7143,29.7765
931,Витебская,Вялікі Азярэцк,54.7769,29.4617
932,Витебская,Заазер’е,54.80376,29.57283
933,Витебская,Митюково,54.67085,29.97410
936,Брестская,Луткі,52.0285,27.5917
937,Брестская,Сямігосцічы,52.094080,27.425650
938,Брестская,Хотамель,51.9482,27.0502
